일자,시가,고가,저가,종가,거래량,등락률,기관 합계,기타법인,개인,외국인 합계,전체,공매도,공매도비중,공매도잔고,공매도잔고비중
2026-02-24,33700,34000,32750,33250,29169,-1.3353115727002967,-46.0,-624.0,-3343.0,4013.0,0.0,781.0,1.600000023841858,111528.0,1.1100000143051147
2026-02-23,34850,34950,33650,33700,41371,-1.3177159590043925,-27.0,50.0,9437.0,-9460.0,0.0,1319.0,1.909999966621399,111528.0,1.1100000143051147
2026-02-20,33900,35500,33200,34150,72627,0.7374631268436578,2877.0,0.0,-6984.0,4107.0,0.0,4808.0,4.070000171661377,111528.0,1.1100000143051147
2026-02-19,33250,34050,32850,33900,46338,2.5718608169440245,6434.0,2001.0,-18792.0,10357.0,0.0,3181.0,4.460000038146973,108443.0,1.0700000524520874
2026-02-13,32550,33500,32300,33050,29322,-0.4518072289156626,-95.0,-15.0,-646.0,756.0,0.0,3027.0,6.849999904632568,109837.0,1.090000033378601
2026-02-12,33400,33400,32650,33200,23034,0.3021148036253776,-9.0,1595.0,1463.0,-3049.0,0.0,3272.0,8.130000114440918,108208.0,1.0700000524520874
2026-02-11,34150,34150,32500,33100,29679,-1.488095238095238,-16.0,19.0,11141.0,-11144.0,0.0,3399.0,7.53000020980835,105558.0,1.0499999523162842
2026-02-10,34350,34350,33250,33600,31229,-0.8849557522123894,180.0,-388.0,550.0,-342.0,0.0,3831.0,7.960000038146973,101835.0,1.0099999904632568
2026-02-09,32700,35500,32550,33900,100805,5.77223088923557,240.0,-30.0,-14817.0,14607.0,0.0,4593.0,2.940000057220459,99108.0,0.9800000190734864
2026-02-06,32200,32900,31050,32050,54220,-4.470938897168406,-646.0,490.0,-1997.0,2153.0,0.0,4822.0,5.889999866485596,99612.0,0.9900000095367432
2026-02-05,35100,35100,33550,33550,63394,-2.4709302325581395,-225.0,220.0,11225.0,-11220.0,0.0,7482.0,7.659999847412109,100136.0,0.9900000095367432
2026-02-04,34200,35500,33900,34400,72910,-1.291248206599713,-73.0,692.0,-8490.0,7871.0,0.0,4070.0,3.400000095367432,93453.0,0.9300000071525574
2026-02-03,34500,35200,34050,34850,110965,4.029850746268656,-1004.0,528.0,-8576.0,9052.0,0.0,5357.0,3.0799999237060547,96390.0,0.959999978542328
2026-02-02,33900,34800,33050,33500,86358,0.2994011976047904,-1300.0,10295.0,-456.0,-8539.0,0.0,6178.0,4.389999866485596,87188.0,0.8600000143051147
2026-01-30,34750,34900,33400,33400,86614,-4.434907010014307,-2720.0,-108.0,-16156.0,18984.0,0.0,1116.0,0.8299999833106995,83485.0,0.8299999833106995
2026-01-29,33800,35300,33050,34950,144252,3.4023668639053253,-335.0,3292.0,-17968.0,15011.0,0.0,7185.0,3.2300000190734863,90454.0,0.8999999761581421
2026-01-28,36500,36850,33150,33800,259356,-7.650273224043716,-662.0,-2257.0,-24475.0,27394.0,0.0,4803.0,1.1799999475479126,99394.0,0.9800000190734864
2026-01-27,35750,38400,35250,36600,376151,-0.5434782608695652,-44.0,2350.0,25922.0,-28228.0,0.0,19147.0,3.200000047683716,110196.0,1.090000033378601
2026-01-26,36100,39650,32700,36800,1124040,7.602339181286549,-25716.0,-918.0,9485.0,17149.0,0.0,0.0,0.0,81332.0,0.8100000023841858
2026-01-23,27100,34700,27000,34200,876811,26.432532347504623,28650.0,66.0,32054.0,-60770.0,0.0,30403.0,2.059999942779541,102124.0,1.0099999904632568
2026-01-22,27350,27500,26600,27050,25485,-0.1845018450184501,20.0,-19.0,-1338.0,1337.0,0.0,1669.0,4.369999885559082,76172.0,0.75
2026-01-21,27950,28000,27050,27100,36657,-5.244755244755245,-9.0,4190.0,9161.0,-13342.0,0.0,1008.0,1.7699999809265137,83583.0,0.8299999833106995
2026-01-20,27850,29150,27300,28600,57800,2.3255813953488373,19.0,1561.0,-20597.0,19017.0,0.0,1892.0,2.220000028610229,74814.0,0.7400000095367432
2026-01-19,28650,28700,27900,27950,39754,-2.4432809773123907,488.0,5028.0,3435.0,-8951.0,0.0,1219.0,2.109999895095825,86186.0,0.8500000238418579
2026-01-16,30000,30850,28600,28650,64633,-0.8650519031141869,1838.0,-1947.0,17424.0,-17315.0,0.0,5502.0,5.800000190734863,80265.0,0.800000011920929
2026-01-15,29100,29150,28600,28900,25959,-0.6872852233676976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-14,29350,29550,28950,29100,17457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-13,29000,29350,28550,29100,27108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-12,29000,29450,28500,29100,27069,-0.3424657534246575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-09,28500,29200,28500,29200,26507,2.456140350877193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-08,29500,29600,28450,28500,31552,-4.040404040404041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-07,30500,30500,29000,29700,61781,-1.98019801980198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-06,29950,30550,29550,30300,48551,2.1922428330522767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-05,29100,29750,28900,29650,31516,1.8900343642611683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-02,27900,29350,27850,29100,30650,2.464788732394366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-30,27950,28450,27850,28400,45537,0.1763668430335097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-29,27950,28900,27950,28350,31658,0.1766784452296819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-26,28450,28900,28250,28300,30157,-0.5272407732864675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-24,29000,29000,28200,28450,38227,-1.0434782608695654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-23,28800,29650,28500,28750,44183,-0.1736111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-22,28450,29200,28350,28800,70340,3.783783783783784,-32137.0,11160.0,-6533.0,27510.0,0.0,10820.0,12.220000267028809,100171.0,0.9900000095367432
2025-12-19,27800,28150,27300,27750,116299,0.1805054151624548,-68925.0,618.0,18459.0,49848.0,0.0,44673.0,32.86000061035156,126515.0,1.25
2025-12-18,27600,28500,27300,27700,40336,-1.4234875444839856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-17,28700,28850,28100,28100,37725,-0.7067137809187279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-16,29750,29900,28300,28300,60498,-5.980066445182724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-15,30000,31200,29550,30100,67292,-0.6600660066006601,-2241.0,-166.0,19371.0,-16964.0,0.0,5678.0,6.139999866485596,150843.0,1.4900000095367432
2025-12-12,31000,31000,30050,30300,40098,-0.9803921568627452,-2001.0,-834.0,1261.0,1574.0,0.0,7014.0,10.989999771118164,140072.0,1.3899999856948853
2025-12-11,31450,31650,30500,30600,90130,2.0,3004.0,71.0,19920.0,-22995.0,0.0,14033.0,9.90999984741211,137570.0,1.3600000143051147
2025-12-10,29300,30150,29200,30000,49268,2.564102564102564,736.0,1873.0,7082.0,-9691.0,0.0,7938.0,8.680000305175781,120973.0,1.2000000476837158
2025-12-09,29000,29350,28750,29250,25364,1.2110726643598615,-1000.0,25.0,-1797.0,2772.0,0.0,4521.0,12.31999969482422,117393.0,1.159999966621399
2025-12-08,29800,29800,28750,28900,28806,-1.3651877133105803,339.0,0.0,-4041.0,3702.0,0.0,3965.0,7.800000190734863,114385.0,1.1299999952316284
2025-12-05,29100,29800,29100,29300,26047,0.0,34.0,0.0,-4232.0,4198.0,0.0,466.0,1.090000033378601,112425.0,1.1100000143051147
2025-12-04,29400,29800,29250,29300,25148,-0.5093378607809848,452.0,25.0,-3654.0,3177.0,0.0,513.0,1.3799999952316284,116141.0,1.149999976158142
2025-12-03,29650,30000,29300,29450,28010,-0.6745362563237773,-613.0,-190.0,549.0,254.0,0.0,4393.0,9.960000038146973,114723.0,1.1399999856948853
2025-12-02,29850,30200,29500,29650,38423,-1.1666666666666667,81.0,10.0,-2755.0,2664.0,0.0,5568.0,9.600000381469728,111353.0,1.100000023841858
2025-12-01,30800,31250,29800,30000,51655,-2.280130293159609,710.0,21.0,3090.0,-3821.0,0.0,4758.0,6.71999979019165,112553.0,1.1200000047683716
2025-11-28,30350,30950,30050,30700,37088,1.824212271973466,-643.0,50.0,-8476.0,9069.0,0.0,3668.0,6.460000038146973,114455.0,1.1299999952316284
2025-11-27,30400,30550,29850,30150,28818,-0.3305785123966942,121.0,66.0,-6020.0,5833.0,0.0,5806.0,11.56999969482422,124602.0,1.2300000190734863
2025-11-26,30800,31050,29800,30250,67712,-1.4657980456026058,-6694.0,3151.0,9777.0,-6234.0,0.0,8317.0,8.170000076293945,126203.0,1.25
2025-11-25,31150,31800,30200,30700,32889,-0.6472491909385114,-2148.0,200.0,-5411.0,7359.0,0.0,3970.0,7.230000019073486,123388.0,1.2200000286102295
2025-11-24,31550,32000,30850,30900,27536,-0.8025682182985553,361.0,48.0,-9045.0,8636.0,0.0,3108.0,7.150000095367432,132268.0,1.309999942779541
2025-11-21,30950,31700,30550,31150,28755,-3.4108527131782944,94.0,2924.0,1922.0,-4940.0,0.0,3398.0,6.710000038146973,133412.0,1.3200000524520874
2025-11-20,31650,32500,31650,32250,27581,2.380952380952381,-295.0,-590.0,-8449.0,9334.0,0.0,1506.0,3.640000104904175,133645.0,1.3200000524520874
2025-11-19,31350,31950,30450,31500,38130,0.1589825119236884,927.0,4430.0,-17450.0,12093.0,0.0,1518.0,2.619999885559082,142933.0,1.4199999570846558
2025-11-18,32500,32950,30900,31450,52286,-4.984894259818732,-1010.0,4845.0,-17561.0,13726.0,0.0,3078.0,3.4600000381469727,153833.0,1.5199999809265137
2025-11-17,34150,34450,33000,33100,38509,-2.7900146842878124,-1031.0,45.0,-1331.0,2317.0,0.0,3828.0,5.5,168620.0,1.6699999570846558
2025-11-14,35200,36350,34050,34050,55611,-3.9492242595204514,-1182.0,75.0,6959.0,-5852.0,0.0,4020.0,4.150000095367432,169385.0,1.6799999475479126
2025-11-13,35150,35550,34800,35450,36819,0.2828854314002829,-35.0,1330.0,1207.0,-2502.0,0.0,2675.0,4.679999828338623,166239.0,1.649999976158142
2025-11-12,34150,35450,34050,35350,46732,3.513909224011713,2653.0,-888.0,-14631.0,12866.0,0.0,2222.0,2.9600000381469727,165128.0,1.6399999856948853
2025-11-11,35000,35500,33850,34150,39488,-2.5677603423680457,-2037.0,330.0,4539.0,-2832.0,0.0,2350.0,3.5799999237060547,174941.0,1.7300000190734863
2025-11-10,33850,35300,33850,35050,35825,3.851851851851852,2258.0,588.0,-15949.0,13103.0,0.0,1123.0,1.919999957084656,174431.0,1.7300000190734863
2025-11-07,33600,34250,33250,33750,32074,-1.88953488372093,-198.0,2080.0,-6950.0,5068.0,0.0,2092.0,4.21999979019165,184954.0,1.830000042915344
2025-11-06,34800,35200,33500,34400,39329,-0.1451378809869375,423.0,229.0,-4917.0,4265.0,0.0,1598.0,2.6700000762939453,187500.0,1.8600000143051147
2025-11-05,34550,34550,33000,34450,57967,-1.1477761836441895,96.0,5338.0,-16407.0,10973.0,0.0,1892.0,1.7000000476837158,192187.0,1.899999976158142
2025-11-04,34800,35550,34550,34850,29274,0.2877697841726618,-501.0,320.0,-1659.0,1840.0,0.0,2139.0,3.7799999713897705,200276.0,1.9800000190734863
2025-11-03,35300,35950,34750,34750,32945,-1.278409090909091,-746.0,42.0,562.0,142.0,0.0,534.0,0.7900000214576721,204097.0,2.0199999809265137
2025-10-31,35750,35850,35000,35200,36127,-1.1235955056179776,-404.0,116.0,-267.0,555.0,0.0,0.0,0.0,204303.0,2.0199999809265137
2025-10-30,36850,37050,35150,35600,71724,-4.301075268817205,1524.0,9388.0,-9184.0,-1728.0,0.0,21.0,0.0199999995529651,205452.0,2.039999961853028
2025-10-29,37700,37900,36950,37200,55589,-0.9320905459387484,242.0,-679.0,2492.0,-2055.0,0.0,157.0,0.1500000059604644,203506.0,2.0199999809265137
2025-10-28,37550,38250,37200,37550,69973,1.349527665317139,2407.0,6602.0,-7605.0,-1404.0,0.0,246.0,0.209999993443489,202921.0,2.009999990463257
2025-10-27,36750,37600,36450,37050,59880,0.6793478260869565,-856.0,-5090.0,5587.0,359.0,0.0,307.0,0.2599999904632568,203260.0,2.009999990463257
2025-10-24,37500,37500,36700,36800,43906,-0.6747638326585695,-460.0,66.0,3449.0,-3055.0,0.0,266.0,0.3199999928474426,204715.0,2.0299999713897705
2025-10-23,37350,38150,36850,37050,42672,-1.593625498007968,1661.0,156.0,-8647.0,6830.0,0.0,316.0,0.4099999964237213,200249.0,1.9800000190734863
2025-10-22,37800,38150,37100,37650,37712,-0.6596306068601583,434.0,402.0,-1051.0,215.0,0.0,315.0,0.4600000083446502,202971.0,2.009999990463257
2025-10-21,39000,39350,37700,37900,75748,-1.0443864229765014,-893.0,127.0,12149.0,-11383.0,0.0,661.0,0.4699999988079071,205862.0,2.039999961853028
2025-10-20,38500,38800,38000,38300,64981,2.680965147453083,1100.0,207.0,-785.0,-522.0,0.0,3313.0,2.9200000762939453,189340.0,1.8799999952316284
