일자,시가,고가,저가,종가,거래량,등락률,기관 합계,기타법인,개인,외국인 합계,전체,공매도,공매도비중,공매도잔고,공매도잔고비중
2025-12-19,86200,87500,83300,83900,148935,-2.668213457076566,2648,-1363,3710,-4995,0,3276.0,1.840000033378601,40621.0,0.12999999523162842
2025-12-18,82700,87800,80900,86200,313213,2.7413587604290823,-107439,1816,48351,57272,0,6756.0,1.7599999904632568,40621.0,0.12999999523162842
2025-12-17,85700,85700,83700,83900,92074,-1.2941176470588236,-15300,-832,16040,92,0,2752.0,2.2899999618530273,40621.0,0.12999999523162842
2025-12-16,86900,87500,84600,85000,149858,-1.7341040462427744,112,-29226,31628,-2514,0,1815.0,0.9200000166893005,39257.0,0.12999999523162842
2025-12-15,87500,88700,85600,86500,138004,-2.1493212669683257,1362,1752,-32984,29870,0,2360.0,1.3300000429153442,36755.0,0.11999999731779099
2025-12-12,90000,90200,87500,88400,226707,-1.7777777777777777,-60090,-3393,57928,5555,0,2720.0,0.8899999856948853,37873.0,0.11999999731779099
2025-12-11,92900,92900,89800,90000,190083,-2.4918743228602382,1581,6423,23579,-31583,0,5895.0,2.369999885559082,50091.0,0.1599999964237213
2025-12-10,92700,94100,92100,92300,81159,-1.177730192719486,-25936,327,17377,8232,0,5025.0,4.739999771118164,57887.0,0.1899999976158142
2025-12-09,92200,94200,91800,93400,117082,1.5217391304347827,-28154,2640,-14420,39934,0,4496.0,3.059999942779541,58900.0,0.1899999976158142
2025-12-08,94800,94800,91200,92000,206332,-3.1578947368421053,10296,-6964,11740,-15072,0,7359.0,2.5299999713897705,60068.0,0.2000000029802322
2025-12-05,96900,99600,94400,95000,200293,-1.3499480789200415,23051,-93,-37368,14410,0,5982.0,2.059999942779541,58223.0,0.1899999976158142
2025-12-04,93700,97000,93300,96300,214903,2.4468085106382977,-4271,-4326,-68078,76675,0,3578.0,1.1100000143051147,62987.0,0.209999993443489
2025-12-03,94200,94700,92200,94000,123052,-0.5291005291005291,-39230,833,11107,27290,0,4502.0,2.859999895095825,61466.0,0.2000000029802322
2025-12-02,92200,97200,91300,94500,215902,2.38353196099675,-14871,-388,-17180,32439,0,9622.0,2.950000047683716,64949.0,0.209999993443489
2025-12-01,93200,93200,91100,92300,125392,-0.9656652360515022,31120,-132,-23867,-7121,0,2941.0,1.75,69349.0,0.2300000041723251
2025-11-28,93800,94400,91000,93200,111276,-0.6396588486140725,-14599,-32,-5758,20389,0,5194.0,3.200000047683716,71319.0,0.2300000041723251
2025-11-27,93600,94700,93100,93800,120098,0.5359056806002144,-6753,-1164,-20558,28475,0,7591.0,4.230000019073486,71349.0,0.2300000041723251
2025-11-26,92100,94300,91500,93300,113286,1.193058568329718,-12452,466,-33635,45621,0,3498.0,2.299999952316284,75854.0,0.25
2025-11-25,92000,94000,91200,92200,118294,0.217391304347826,-8851,-2421,-21662,32934,0,8103.0,5.039999961853027,77208.0,0.25
2025-11-24,93400,94000,91100,92000,138589,-1.9189765458422177,-15544,-1657,-2727,19928,0,17455.0,9.720000267028809,78349.0,0.2599999904632568
2025-11-21,93400,95000,92200,93800,131857,-0.9503695881731784,10430,-1871,-20256,11697,0,4334.0,2.4600000381469727,76259.0,0.25
2025-11-20,93500,95700,92900,94700,177471,1.5005359056806002,-60324,-3947,-13187,77458,0,3217.0,1.399999976158142,72924.0,0.2399999946355819
2025-11-19,92500,95000,90600,93300,178491,0.8648648648648649,-20657,-1754,-44286,66697,0,8515.0,3.5199999809265137,72668.0,0.2399999946355819
2025-11-18,93600,94900,92100,92500,132949,-2.2198731501057085,-10142,-3130,-4498,17770,0,9330.0,5.28000020980835,78033.0,0.2599999904632568
2025-11-17,92100,95500,92100,94600,224876,3.2751091703056767,-31336,-6417,-40894,78647,0,4467.0,1.3899999856948853,78553.0,0.2599999904632568
2025-11-14,91200,93300,90800,91600,212431,-1.293103448275862,-19259,-19115,-26996,65370,0,6638.0,2.359999895095825,115457.0,0.3799999952316284
