일자,시가,고가,저가,종가,거래량,등락률,기관 합계,기타법인,개인,외국인 합계,전체,공매도,공매도비중,공매도잔고,공매도잔고비중
2026-02-20,125000,128000,123200,127300,9538,1.192368839427663,-2086.0,611.0,-1605.0,3080.0,0.0,170.0,1.399999976158142,10115.0,0.20999999344348907
2026-02-19,125000,126400,123600,125800,15504,1.1254019292604502,-11530.0,0.0,1894.0,9636.0,0.0,168.0,0.9200000166893005,10115.0,0.20999999344348907
2026-02-13,126600,128500,122400,124400,12421,-2.507836990595611,-405.0,-4.0,-1368.0,1777.0,0.0,399.0,2.7899999618530273,10115.0,0.20999999344348907
2026-02-12,125600,129800,122000,127600,11588,0.6309148264984227,-1224.0,-1.0,543.0,682.0,0.0,457.0,3.2100000381469727,9266.0,0.1899999976158142
2026-02-11,126000,135000,123800,126800,9330,0.9554140127388535,-157.0,3.0,-748.0,902.0,0.0,279.0,2.180000066757202,8698.0,0.18000000715255737
2026-02-10,125000,126800,122900,125600,10781,1.20870265914585,-2362.0,0.0,-1069.0,3431.0,0.0,63.0,0.44999998807907104,9020.0,0.18000000715255737
2026-02-09,130000,130000,120900,124100,14299,-2.4371069182389937,-2184.0,3.0,1671.0,510.0,0.0,409.0,2.3399999141693115,10783.0,0.2199999988079071
2026-02-06,134500,134500,124200,127200,11877,-5.49777117384844,-326.0,53.0,2624.0,-2351.0,0.0,1241.0,8.609999656677246,11038.0,0.2300000041723251
2026-02-05,135000,139400,132500,134600,16122,-0.2962962962962963,-41.0,-41.0,-2930.0,3012.0,0.0,1543.0,8.699999809265137,9240.0,0.1899999976158142
2026-02-04,132500,137550,132500,135000,6505,0.7462686567164178,-79.0,-46.0,-2708.0,2833.0,0.0,346.0,4.480000019073486,8335.0,0.1700000017881393
2026-02-03,135800,135800,131100,134000,14026,2.2900763358778624,-342.0,-24.0,-1054.0,1420.0,0.0,698.0,4.550000190734863,8649.0,0.1800000071525573
2026-02-02,132000,136850,127000,131000,20882,-1.6516516516516515,-4888.0,-664.0,-4981.0,10533.0,0.0,697.0,2.950000047683716,8223.0,0.1700000017881393
2026-01-30,140800,142400,131700,133200,23140,-5.263157894736842,-509.0,135.0,963.0,-589.0,0.0,1938.0,7.21999979019165,8271.0,0.1700000017881393
2026-01-29,139900,145100,139600,140600,19327,1.884057971014493,95.0,-295.0,-5181.0,5381.0,0.0,712.0,3.109999895095825,8826.0,0.1800000071525573
2026-01-28,135500,139900,134100,138000,14774,3.7593984962406015,-233.0,-493.0,-2519.0,3245.0,0.0,721.0,4.130000114440918,9539.0,0.2000000029802322
2026-01-27,133800,134800,130300,133000,15589,1.1406844106463878,-713.0,-563.0,-5549.0,6825.0,0.0,904.0,4.920000076293945,9612.0,0.2000000029802322
2026-01-26,132000,133200,130300,131500,19396,0.4583651642475172,-1033.0,-44.0,-1521.0,2598.0,0.0,1417.0,6.880000114440918,9933.0,0.2000000029802322
2026-01-23,120900,134400,120800,130900,30545,8.181818181818182,1059.0,-478.0,-4340.0,3759.0,0.0,2167.0,5.550000190734863,10177.0,0.209999993443489
2026-01-22,120900,122300,118200,121000,4871,-0.0825763831544178,-270.0,-88.0,-407.0,765.0,0.0,826.0,10.550000190734863,10456.0,0.209999993443489
2026-01-21,122900,122900,119000,121100,6934,-1.7842660178426604,-174.0,-1757.0,409.0,1522.0,0.0,940.0,11.130000114440918,10201.0,0.209999993443489
2026-01-20,120600,126900,118600,123300,21199,1.900826446280992,-2607.0,-74.0,-3194.0,5875.0,0.0,1718.0,6.840000152587891,9900.0,0.2000000029802322
2026-01-19,117600,121600,117100,121000,12377,3.330486763450043,-198.0,-460.0,-4307.0,4965.0,0.0,1008.0,6.199999809265137,10549.0,0.2199999988079071
2026-01-16,117500,119900,116900,117100,8358,-0.3404255319148936,-384.0,6.0,-482.0,860.0,0.0,1658.0,16.889999389648438,10291.0,0.209999993443489
2026-01-15,115900,117800,115700,117500,7871,1.6435986159169549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-14,116100,117600,114400,115600,10597,-0.2588438308886971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-13,115500,117500,113800,115900,14054,1.845342706502636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-12,108500,115600,108500,113800,9684,4.981549815498155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
