일자,시가,고가,저가,종가,거래량,등락률,기관 합계,기타법인,개인,외국인 합계,전체,공매도,공매도비중,공매도잔고,공매도잔고비중
2025-12-23,18770,18800,18010,18010,48738,-3.0156165858912223,-4169,279,18118,-14228,0,2446.0,3.4800000190734863,152190.0,2.140000104904175
2025-12-22,17770,18600,17770,18570,79157,6.174957118353345,-21282,-1839,6939,16182,0,2229.0,1.8899999856948853,152190.0,2.140000104904175
2025-12-19,17880,17900,17270,17490,65124,-0.625,-34288,-272,20633,13927,0,2085.0,2.319999933242798,152190.0,2.140000104904175
2025-12-18,17930,17950,17500,17600,34005,-3.0837004405286343,-3000,-125,-6838,9963,0,623.0,1.1299999952316284,152942.0,2.1500000953674316
2025-12-17,18870,18870,18160,18160,39115,-2.102425876010782,-6483,-1471,6588,1366,0,2466.0,4.110000133514404,157820.0,2.2200000286102295
2025-12-16,19000,19230,18550,18550,57042,-3.3350703491401767,-5891,-18,6216,-307,0,3165.0,3.450000047683716,157808.0,2.2200000286102295
2025-12-15,19440,19630,19080,19190,84368,-3.616273229532898,-31532,-335,34376,-2509,0,1279.0,1.0299999713897705,157544.0,2.2200000286102295
2025-12-12,20000,20100,19890,19910,54512,-0.4499999999999999,-22004,100,24913,-3009,0,3781.0,4.449999809265137,155657.0,2.190000057220459
2025-12-11,20450,20450,19900,20000,38032,-0.99009900990099,21,200,-2058,1837,0,953.0,1.1699999570846558,152324.0,2.140000104904175
2025-12-10,19990,20650,19650,20200,102362,1.0,28,-1050,688,334,0,1702.0,0.9300000071525574,152213.0,2.140000104904175
2025-12-09,20150,20200,19930,20000,33086,-0.4975124378109453,1,36,4554,-4591,0,1041.0,1.559999942779541,151370.0,2.130000114440918
2025-12-08,20550,20550,19990,20100,44673,-1.2285012285012284,7,50,9327,-9384,0,936.0,1.0499999523162842,147813.0,2.0799999237060547
2025-12-05,20500,20500,20000,20350,60694,0.0,7,234,-10443,10202,0,1299.0,1.25,143598.0,2.0199999809265137
2025-12-04,20850,20850,20200,20350,38345,-0.97323600973236,-4,-80,6017,-5933,0,1301.0,1.649999976158142,150059.0,2.109999895095825
2025-12-03,21150,21150,20450,20550,71722,-2.142857142857143,82,166,-524,276,0,829.0,0.699999988079071,147079.0,2.069999933242798
2025-12-02,21000,21100,20650,21000,44725,0.4784688995215311,4,13,-9701,9684,0,376.0,0.5099999904632568,145868.0,2.049999952316284
2025-12-01,21600,21650,20850,20900,49030,0.7228915662650602,1,-950,1631,-682,0,594.0,0.6000000238418579,147774.0,2.0799999237060547
2025-11-28,20100,20800,20100,20750,43070,3.801900950475238,0,-289,-10960,11249,0,22.0,0.0199999995529651,150947.0,2.119999885559082
2025-11-27,20500,20600,19980,19990,27813,-0.7940446650124069,11,248,1982,-2241,0,272.0,0.4399999976158142,156875.0,2.2100000381469727
2025-11-26,20350,20350,19960,20150,35786,0.4987531172069825,-659,57,-1642,2244,0,1113.0,1.6699999570846558,156155.0,2.200000047683716
2025-11-25,20300,20400,19840,20050,31997,1.6734279918864097,3,58,-646,585,0,608.0,1.0199999809265137,155885.0,2.190000057220459
2025-11-24,20850,20850,19700,19720,62532,-4.038929440389294,-43,-513,5173,-4617,0,364.0,0.3199999928474426,156394.0,2.200000047683716
2025-11-21,21100,21300,20500,20550,79506,-7.432432432432432,-95,582,388,-875,0,1215.0,0.7799999713897705,157084.0,2.2100000381469727
2025-11-20,22700,22800,22150,22200,59935,-0.4484304932735426,-101,-150,2331,-2080,0,672.0,0.6200000047683716,155556.0,2.190000057220459
2025-11-19,22550,23450,21750,22300,103475,1.82648401826484,-183,942,1351,-2110,0,376.0,0.1800000071525573,153695.0,2.1600000858306885
