일자,시가,고가,저가,종가,거래량,등락률,기관 합계,기타법인,개인,외국인 합계,전체,공매도,공매도비중,공매도잔고,공매도잔고비중
2025-12-19,17900,17990,17510,17590,145434,-1.1797752808988764,-46422,178,4816,41428,0,55023.0,33.689998626708984,250457.0,0.4300000071525574
2025-12-18,17810,18060,17350,17800,134926,0.0,188,-360,5009,-4837,0,11624.0,8.359999656677246,250457.0,0.4300000071525574
2025-12-17,18020,18130,17410,17800,77522,-0.8356545961002786,25254,-188,-4798,-20268,0,20750.0,25.739999771118164,250457.0,0.4300000071525574
2025-12-16,18400,18500,17930,17950,200569,-1.3736263736263736,-26871,-355,-8055,35281,0,15109.0,7.210000038146973,245389.0,0.41999998688697815
2025-12-15,17860,18470,17750,18200,167135,1.392757660167131,94864,240,-44410,-50694,0,16771.0,9.369999885559082,244912.0,0.4099999964237213
2025-12-12,17940,18040,17520,17950,166601,0.055741360089186176,74436,-1969,-32174,-40293,0,19301.0,11.119999885559082,232700.0,0.38999998569488525
2025-12-11,17390,18000,17190,17940,194777,4.0,45706,-579,-43420,-1707,0,14332.0,6.679999828338623,210776.0,0.3499999940395355
2025-12-10,16930,17350,16600,17250,144751,1.8901358535144714,16956,-761,-33063,16868,0,6997.0,4.570000171661377,190027.0,0.3199999928474426
2025-12-09,16850,17070,16740,16930,93856,0.4747774480712166,-22480,-102,-627,23209,0,2211.0,2.309999942779541,183193.0,0.3100000023841858
2025-12-08,16830,16890,16540,16850,216581,0.11883541295306002,10379,-279,-12352,2252,0,2280.0,1.0299999713897705,193414.0,0.33000001311302185
2025-12-05,16630,16840,16560,16830,60026,1.3855421686746987,9907,-193,73,-9787,0,1017.0,1.590000033378601,191314.0,0.3199999928474426
2025-12-04,17200,17320,16100,16600,320945,-3.3760186263096625,-33682,-7278,-12495,53455,0,2701.0,0.800000011920929,187663.0,0.3199999928474426
2025-12-03,17040,17280,16980,17180,40192,0.29188558085230587,2723,-331,-5822,3430,0,2607.0,6.050000190734863,193426.0,0.33000001311302185
2025-12-02,16770,17150,16670,17130,69447,1.661721068249258,12389,-103,-18227,5941,0,2564.0,3.4800000190734863,191026.0,0.3199999928474426
2025-12-01,17200,17270,16650,16850,123653,-2.0348837209302326,-10836,-28,-10393,21257,0,379.0,0.28999999165534973,189376.0,0.3199999928474426
2025-11-28,17380,17440,17000,17200,67603,-0.6928406466512702,-16171,-215,-8074,24460,0,2423.0,3.490000009536743,189391.0,0.3199999928474426
2025-11-27,17500,17500,17210,17320,37892,0.11560693641618498,1366,-736,-4070,3440,0,4469.0,11.180000305175781,193811.0,0.33000001311302185
2025-11-26,16980,17400,16950,17300,76787,2.2458628841607564,23361,-169,-17624,-5568,0,7005.0,8.449999809265137,193315.0,0.3199999928474426
2025-11-25,16820,17090,16690,16920,74629,1.0149253731343284,11011,-1210,-11417,1616,0,13781.0,16.850000381469727,190500.0,0.3199999928474426
2025-11-24,16930,17040,16670,16750,83666,-1.5863689776733254,3873,-591,-10274,6992,0,8610.0,9.470000267028809,183553.0,0.3100000023841858
2025-11-21,17200,17250,16840,17020,49583,-2.687249857061178,7554,-391,-5348,-1815,0,7548.0,13.260000228881836,178632.0,0.30000001192092896
2025-11-20,15780,17540,15780,17490,298486,10.277427490542244,54745,8058,-107540,44737,0,14338.0,3.9000000953674316,174674.0,0.28999999165534973
2025-11-19,15540,16040,14760,15860,130180,1.8625561978163132,2256,-4,-16387,14135,0,3384.0,2.4100000858306885,152702.0,0.25999999046325684
2025-11-18,15690,15880,15470,15570,95011,0.4516129032258065,32586,64,-10818,-21832,0,5068.0,5.0,149683.0,0.25
2025-11-17,16150,16150,15380,15500,57779,-3.9057656540607564,12912,-588,1355,-13679,0,3398.0,5.329999923706055,147120.0,0.25
2025-11-14,15690,16130,15600,16130,169887,2.804333970681963,71587,175,-37861,-33901,0,22477.0,12.239999771118164,145132.0,0.23999999463558197
2025-11-13,16200,16270,15670,15690,108530,-2.3646546359676415,6752,-825,-9223,3296,0,6778.0,5.96999979019165,137545.0,0.23000000417232513
2025-11-12,16010,16180,15860,16070,89774,1.837769328263625,18115,1127,-14848,-4394,0,7884.0,7.239999771118164,136509.0,0.23000000417232513
2025-11-11,16030,16400,15750,15780,103703,-1.375,25296,-1189,-21864,-2243,0,11399.0,9.760000228881836,133490.0,0.2199999988079071
2025-11-10,15430,16050,15410,16000,115695,3.896103896103896,59605,-2649,-30699,-26257,0,12865.0,9.1899995803833,132903.0,0.2199999988079071
2025-11-07,15330,15590,15000,15400,113849,0.0,32087,-852,-17663,-13572,0,9510.0,7.619999885559082,131761.0,0.2199999988079071
2025-11-06,14900,15550,14800,15400,216392,4.336043360433604,63038,1422,-77841,13381,0,9525.0,3.6700000762939453,131477.0,0.2199999988079071
2025-11-05,14580,14850,14240,14760,148510,1.2345679012345678,21035,-865,-16124,-4046,0,8502.0,5.079999923706055,131083.0,0.2199999988079071
2025-11-04,14650,14870,14420,14580,137886,-0.06854009595613435,2249,-1236,-14664,13651,0,8479.0,5.760000228881836,126588.0,0.20999999344348907
2025-11-03,14500,14870,14490,14590,251958,0.6901311249137336,-25359,680,-24376,49055,0,9423.0,3.380000114440918,120409.0,0.20000000298023224
2025-10-31,13850,14630,13750,14490,334781,5.305232558139535,56740,-6375,-44068,-6297,0,4709.0,1.25,119335.0,0.20000000298023224
2025-10-30,13870,14020,13600,13760,170237,0.9537784299339692,78950,4657,-12704,-70903,0,1056.0,0.5799999833106995,110844.0,0.1899999976158142
2025-10-29,13860,13890,13525,13630,146373,-1.5884476534296028,29244,227,5555,-35026,0,500.0,0.3199999928474426,107833.0,0.18000000715255737
2025-10-28,13400,13990,13360,13850,323317,3.900975243810953,952,641,-17764,16171,0,72.0,0.019999999552965164,103523.0,0.17000000178813934
